2021-03-16 11:23:04 DEBUG request log not activated
2021-03-16 11:23:04 DEBUG response log not activated
2021-03-16 11:23:04 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:23:04 DEBUG Reading projects...
2021-03-16 11:23:04 DEBUG   project - nonprod-project
2021-03-16 11:23:04 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:23:04 DEBUG Processing file: nonprod-project/management-zone/management-zone.yaml
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftprofessionalreferencedataestg has dep on nonprod-project/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataestg has dep on nonprod-project/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftcivilunspecstg has dep on nonprod-project/management-zone/CFT-CivilUnspec-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftcivilunspecstg has dep on nonprod-project/management-zone/CFT-CivilUnspec-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftdivorcestg has dep on nonprod-project/management-zone/CFT-Divorce-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftdivorcestg has dep on nonprod-project/management-zone/CFT-Divorce-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftimmigrationandasylumstg has dep on nonprod-project/management-zone/CFT-ImmigrationandAsylum-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftimmigrationandasylumstg has dep on nonprod-project/management-zone/CFT-ImmigrationandAsylum-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftevidencemanagementstg has dep on nonprod-project/management-zone/CFT-EvidenceManagement-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftevidencemanagementstg has dep on nonprod-project/management-zone/CFT-EvidenceManagement-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftimmigrationandasylumperf has dep on nonprod-project/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftimmigrationandasylumperf has dep on nonprod-project/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfeespaymentsperf has dep on nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfamilypubliclawperf has dep on nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfeespaymentsperf has dep on nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfamilypubliclawperf has dep on nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftelasticsearchstg has dep on nonprod-project/management-zone/CFT-Elasticsearch-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftelasticsearchstg has dep on nonprod-project/management-zone/CFT-Elasticsearch-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftecmstg has dep on nonprod-project/management-zone/CFT-ECM-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftecmstg has dep on nonprod-project/management-zone/CFT-ECM-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfinancialremedyperf has dep on nonprod-project/management-zone/CFT-FinancialRemedy-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfinancialremedyperf has dep on nonprod-project/management-zone/CFT-FinancialRemedy-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftsscsperf has dep on nonprod-project/management-zone/CFT-SSCS-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftsscsperf has dep on nonprod-project/management-zone/CFT-SSCS-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftecmperf has dep on nonprod-project/management-zone/CFT-ECM-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftecmperf has dep on nonprod-project/management-zone/CFT-ECM-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkscanperf has dep on nonprod-project/management-zone/CFT-BulkScan-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkscanperf has dep on nonprod-project/management-zone/CFT-BulkScan-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftccdperf has dep on nonprod-project/management-zone/CFT-CCD-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftccdperf has dep on nonprod-project/management-zone/CFT-CCD-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftlegalrepcmcunspec has dep on nonprod-project/management-zone/CFT-LegalRepCMCUnspec
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftlegalrepcmcunspec has dep on nonprod-project/management-zone/CFT-LegalRepCMCUnspec
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftxuiperf has dep on nonprod-project/management-zone/CFT-XUI-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftldata has dep on nonprod-project/management-zone/CFT-LDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftldata has dep on nonprod-project/management-zone/CFT-LDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftcivilmoneyclaimsstg has dep on nonprod-project/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftcivilmoneyclaimsstg has dep on nonprod-project/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftpalononprodldataperf has dep on nonprod-project/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpalononprodldataperf has dep on nonprod-project/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfinancialremedystg has dep on nonprod-project/management-zone/CFT-FinancialRemedy-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfinancialremedystg has dep on nonprod-project/management-zone/CFT-FinancialRemedy-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftaccessmanagementperf has dep on nonprod-project/management-zone/CFT-AccessManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftaccessmanagementperf has dep on nonprod-project/management-zone/CFT-AccessManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprobatestg has dep on nonprod-project/management-zone/CFT-Probate-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftprobatestg has dep on nonprod-project/management-zone/CFT-Probate-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftevidencemanagementperf has dep on nonprod-project/management-zone/CFT-EvidenceManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftevidencemanagementperf has dep on nonprod-project/management-zone/CFT-EvidenceManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftforgerockstg has dep on nonprod-project/management-zone/CFT-Forgerock-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftforgerockstg has dep on nonprod-project/management-zone/CFT-Forgerock-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftxuistg has dep on nonprod-project/management-zone/CFT-XUI-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftxuistg has dep on nonprod-project/management-zone/CFT-XUI-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkprintstg has dep on nonprod-project/management-zone/CFT-Bulkprint-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkprintstg has dep on nonprod-project/management-zone/CFT-Bulkprint-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkprintperf has dep on nonprod-project/management-zone/CFT-Bulkprint-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkprintperf has dep on nonprod-project/management-zone/CFT-Bulkprint-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkscanstg has dep on nonprod-project/management-zone/CFT-BulkScan-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FinancialRemedy-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-SSCS-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FinancialRemedy-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-LegalRepCMCUnspec
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Probate-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Divorce-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-EvidenceManagement-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-CCD-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-IDAM-Sandbox
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-IDAM-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ECM-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-CivilUnspec-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ProfessionalReferenceData-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-BulkScan-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-PCQ-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-PCQ-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Bulkprint-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FamilyPublicLaw-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ImmigrationandAsylum-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ECM-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-SSCS-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-AccessManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Forgerock-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Bulkprint-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Probate-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Elasticsearch-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-EvidenceManagement-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-CCD-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-ECM-LDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-AccessManagement-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-LDATA
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Elasticsearch-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FeesPayments-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-XUI-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Divorce-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-XUI-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-BulkScan-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/Crime-ROTANFT
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/Crime
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/Crime-IdAM-NFT
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-IDAM-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/SVCOFF
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CrimeCPMDV
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-FeesPayments-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/CFT-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/DTS-CVP-Perf
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/Crime-CPNFT
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/DTS-CVP-Staging
2021-03-16 11:23:04 DEBUG 		nonprod-project/management-zone/DTS-HMI-Dev
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseuserrolesrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfinancialremedystg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthlivenessrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftsscsstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfinancialremedyperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/WebAppAvgFailureRateRequests
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/fplhandlesubmittedeventrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdsavecasedetailscaseworkerrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetjurisdictionsrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdremoveCaseUserRolesRequestCount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftlegalrepcmcunspec
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcitizenrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccduicasesearchcasesrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcitizenrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataestg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftprobatestg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceccdaddcaseuserrolesrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccddatastoreinsertintocasedatarequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdcreatecaseeventforcaseworkerrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseviewrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftdivorcestg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccddatastoreinsertintocasedatarequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreateeventrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccddefstoreapijurisdictionsrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreatecaserequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkscanstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprobatestg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftevidencemanagementstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/amretrieveroleassignmentsbyactoridrequestcountsucc
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetjurisdictionsrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftccdstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/dmstoregetbinaryrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdaddcaseuserrolesrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayinternalsearchcasesrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/amcreateroleassignmentrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftidamsbox
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdsearchcasesforcitizensrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftidamperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftecmstg
