2021-03-16 11:00:33 DEBUG request log not activated
2021-03-16 11:00:33 DEBUG response log not activated
2021-03-16 11:00:33 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:00:33 DEBUG Reading projects...
2021-03-16 11:00:33 DEBUG   project - nonprod-project
2021-03-16 11:00:33 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-Bulkprint-Perf
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-Forgerock-Staging
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-CCD-Staging
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-Bulkprint-Staging
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-Elasticsearch-Staging
2021-03-16 11:00:33 DEBUG 		nonprod-project/management-zone/CFT-AccessManagement-Staging
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-dtshmidev
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccduicasesearchcasesrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseviewrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftimmigrationandasylumperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthlivenessrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftelasticsearchperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amdeleteroleassignmentbyidrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amcreateroleassignmentrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftecmperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkscanperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcaseworkerrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetjurisdictionsrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/dmstoregetbinaryrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idam-apiAuthorizationControllerresponsetime
