2021-03-31 21:41:37 DEBUG request log not activated
2021-03-31 21:41:37 DEBUG response log not activated
2021-03-31 21:41:37 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-31 21:41:37 DEBUG Reading projects...
2021-03-31 21:41:37 DEBUG   project - apimgmt
2021-03-31 21:41:37 DEBUG   project - config/.logs
2021-03-31 21:41:37 DEBUG   project - config/nonprod
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/management-zone/management-zone.yaml
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftdivorceperf has dep on config/nonprod/management-zone/CFT-Divorce-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftdivorceperf has dep on config/nonprod/management-zone/CFT-Divorce-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftecmldata has dep on config/nonprod/management-zone/CFT-ECM-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftecmldata has dep on config/nonprod/management-zone/CFT-ECM-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftpalononprodldataperf has dep on config/nonprod/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftpalononprodldataperf has dep on config/nonprod/management-zone/CFT-PaloNon-ProdPerfLDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfamilypubliclawstg has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftfamilypubliclawstg has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftlegalrepcmcunspec has dep on config/nonprod/management-zone/CFT-LegalRepCMCUnspec
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftlegalrepcmcunspec has dep on config/nonprod/management-zone/CFT-LegalRepCMCUnspec
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftecmperf has dep on config/nonprod/management-zone/CFT-ECM-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftecmperf has dep on config/nonprod/management-zone/CFT-ECM-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftcivilmoneyclaimsstg has dep on config/nonprod/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftcivilmoneyclaimsstg has dep on config/nonprod/management-zone/CFT-CivilMoneyClaims-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfeespaymentsstg has dep on config/nonprod/management-zone/CFT-FeesPayments-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftidamsbox has dep on config/nonprod/management-zone/CFT-IDAM-Sandbox
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftidamsbox has dep on config/nonprod/management-zone/CFT-IDAM-Sandbox
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftidamstg has dep on config/nonprod/management-zone/CFT-IDAM-Sandbox
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftidamstg has dep on config/nonprod/management-zone/CFT-IDAM-Sandbox
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftccdstg has dep on config/nonprod/management-zone/CFT-CCD-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftccdstg has dep on config/nonprod/management-zone/CFT-CCD-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftaccessmanagementstg has dep on config/nonprod/management-zone/CFT-AccessManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftaccessmanagementstg has dep on config/nonprod/management-zone/CFT-AccessManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftcivilunspecstg has dep on config/nonprod/management-zone/CFT-CivilUnspec-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftcivilunspecstg has dep on config/nonprod/management-zone/CFT-CivilUnspec-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftelasticsearchstg has dep on config/nonprod/management-zone/CFT-Elasticsearch-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftelasticsearchstg has dep on config/nonprod/management-zone/CFT-Elasticsearch-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfeespaymentsperf has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftfamilypubliclawperf has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftfeespaymentsperf has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfamilypubliclawperf has dep on config/nonprod/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftimmigrationandasylumperf has dep on config/nonprod/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftimmigrationandasylumperf has dep on config/nonprod/management-zone/CFT-ImmigrationandAsylum-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftccdperf has dep on config/nonprod/management-zone/CFT-CCD-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftccdperf has dep on config/nonprod/management-zone/CFT-CCD-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftevidencemanagementstg has dep on config/nonprod/management-zone/CFT-EvidenceManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftevidencemanagementstg has dep on config/nonprod/management-zone/CFT-EvidenceManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftevidencemanagementperf has dep on config/nonprod/management-zone/CFT-EvidenceManagement-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftevidencemanagementperf has dep on config/nonprod/management-zone/CFT-EvidenceManagement-Perf
